month_of_service,daytype,daycount,route_or_line,ridership_total,ridership_average,ObjectId
2024-03-01 05:00:00+00:00,Total,31,Bus,7074289,228203,437
2023-11-01 04:00:00+00:00,Total,30,Bus,6702907,223430,439
2024-02-01 05:00:00+00:00,Total,29,Bus,6504772,224302,562
2024-05-01 04:00:00+00:00,Total,31,Bus,7404088,238842,623
2023-12-01 05:00:00+00:00,Total,31,Bus,6201686,200054,628
2023-10-01 04:00:00+00:00,Total,31,Bus,7382864,238157,712
2024-01-01 05:00:00+00:00,Total,31,Bus,6414210,206910,764
2023-08-01 04:00:00+00:00,Total,31,Bus,6666127,215036,812
2023-09-01 04:00:00+00:00,Total,30,Bus,6904339,230145,862
2023-06-01 04:00:00+00:00,Total,30,Bus,6506803,216893,945
2023-05-01 04:00:00+00:00,Total,31,Bus,7017792,226380,954
2023-07-01 04:00:00+00:00,Total,31,Bus,6300653,203247,1017
2023-03-01 05:00:00+00:00,Total,31,Bus,6812317,219752,1085
2023-02-01 05:00:00+00:00,Total,28,Bus,5592079,199717,1139
2023-04-01 04:00:00+00:00,Total,30,Bus,6347726,211591,1181
2022-08-01 04:00:00+00:00,Total,31,Bus,6287095,202810,1218
2022-10-01 04:00:00+00:00,Total,31,Bus,6775570,218567,1234
2023-01-01 05:00:00+00:00,Total,31,Bus,6026436,194401,1423
2022-12-01 05:00:00+00:00,Total,31,Bus,5750635,185504,1447
2022-09-01 04:00:00+00:00,Total,30,Bus,6616814,220560,1459
2022-07-01 04:00:00+00:00,Total,31,Bus,5925119,191133,1517
2022-11-01 04:00:00+00:00,Total,30,Bus,6312454,210415,1551
2022-02-01 05:00:00+00:00,Total,28,Bus,4944082,176574,1622
2022-04-01 04:00:00+00:00,Total,30,Bus,5927733,197591,1725
2022-06-01 04:00:00+00:00,Total,30,Bus,6237320,207911,1764
2022-05-01 04:00:00+00:00,Total,31,Bus,6257742,201863,1766
2022-03-01 05:00:00+00:00,Total,31,Bus,6263374,202044,1773
2022-01-01 05:00:00+00:00,Total,31,Bus,4569841,147414,1795
2021-11-01 04:00:00+00:00,Total,30,Bus,5761440,192048,1929
2021-12-01 05:00:00+00:00,Total,31,Bus,5324954,171773,1976
2021-06-01 04:00:00+00:00,Total,30,Bus,4855997,161867,2035
2021-09-01 04:00:00+00:00,Total,30,Bus,5907005,196900,2121
2021-05-01 04:00:00+00:00,Total,31,Bus,4545834,146640,2205
2021-10-01 04:00:00+00:00,Total,31,Bus,6092826,196543,2235
2021-04-01 04:00:00+00:00,Total,30,Bus,4229354,140978,2251
2021-07-01 04:00:00+00:00,Total,31,Bus,4905539,158243,2258
2021-08-01 04:00:00+00:00,Total,31,Bus,5143625,165923,2332
2021-03-01 05:00:00+00:00,Total,31,Bus,4178265,134783,2387
2020-11-01 04:00:00+00:00,Total,30,Bus,3704996,123500,2506
2020-10-01 04:00:00+00:00,Total,31,Bus,4125036,133066,2549
2021-01-01 05:00:00+00:00,Total,31,Bus,3428806,110607,2587
2021-02-01 05:00:00+00:00,Total,28,Bus,3352069,119717,2670
2020-08-01 04:00:00+00:00,Total,31,Bus,3840144,123876,2684
2020-07-01 04:00:00+00:00,Total,31,Bus,3913145,126230,2765
2020-12-01 05:00:00+00:00,Total,31,Bus,3625584,116954,2780
2020-09-01 04:00:00+00:00,Total,30,Bus,4016026,133868,2781
2020-04-01 04:00:00+00:00,Total,30,Bus,2115394,70513,2889
2020-06-01 04:00:00+00:00,Total,30,Bus,3333640,111121,2950
2020-01-01 05:00:00+00:00,Total,31,Bus,8493962,273999,3055
2020-03-01 05:00:00+00:00,Total,31,Bus,5391097,173906,3094
2019-11-01 04:00:00+00:00,Total,30,Bus,8299364,276645,3099
2020-05-01 04:00:00+00:00,Total,31,Bus,2597139,83779,3104
2019-12-01 05:00:00+00:00,Total,31,Bus,7788651,251247,3129
2020-02-01 05:00:00+00:00,Total,29,Bus,8008280,276148,3166
2019-06-01 04:00:00+00:00,Total,30,Bus,8192818,273094,3277
2019-03-01 05:00:00+00:00,Total,31,Bus,8441657,272312,3355
2019-09-01 04:00:00+00:00,Total,30,Bus,8720168,290672,3407
2019-07-01 04:00:00+00:00,Total,31,Bus,8416840,271511,3457
2019-05-01 04:00:00+00:00,Total,31,Bus,8887371,286689,3481
2019-08-01 04:00:00+00:00,Total,31,Bus,8467347,273140,3522
2019-04-01 04:00:00+00:00,Total,30,Bus,8554377,285146,3554
2019-10-01 04:00:00+00:00,Total,31,Bus,9478735,305766,3582
2018-11-01 04:00:00+00:00,Total,30,Bus,8272985,275766,3651
2018-10-01 04:00:00+00:00,Total,31,Bus,9367658,302183,3755
2018-09-01 04:00:00+00:00,Total,30,Bus,8465423,282181,3838
2018-12-01 05:00:00+00:00,Total,31,Bus,7604220,245297,3917
2019-01-01 05:00:00+00:00,Total,31,Bus,8016103,258584,3941
2018-07-01 04:00:00+00:00,Total,31,Bus,8171893,263609,3966
2018-08-01 04:00:00+00:00,Total,31,Bus,8532722,275249,3976
2019-02-01 05:00:00+00:00,Total,28,Bus,7502531,267948,3993
2024-12-01 05:00:00+00:00,Weekday,21,Silver Line,631039,30049,8
2024-06-01 04:00:00+00:00,Weekday,20,Silver Line,624972,31249,70
2024-11-01 04:00:00+00:00,Weekday,20,Silver Line,721611,36081,110
2024-07-01 04:00:00+00:00,Weekday,22,Silver Line,703362,31971,168
2024-09-01 04:00:00+00:00,Weekday,20,Silver Line,645919,32296,214
2024-10-01 04:00:00+00:00,Weekday,22,Silver Line,751867,34176,262
2024-05-01 04:00:00+00:00,Weekday,22,Silver Line,707628,32165,322
2024-08-01 04:00:00+00:00,Weekday,22,Silver Line,683452,31066,366
2024-03-01 05:00:00+00:00,Weekday,21,Silver Line,658405,31353,471
2024-02-01 05:00:00+00:00,Weekday,20,Silver Line,567882,28394,473
2023-10-01 04:00:00+00:00,Weekday,22,Silver Line,679341,30879,475
2024-01-01 05:00:00+00:00,Weekday,21,Silver Line,557230,26535,574
2024-04-01 04:00:00+00:00,Weekday,22,Silver Line,650934,29588,647
2023-11-01 04:00:00+00:00,Weekday,21,Silver Line,638204,30391,652
2023-09-01 04:00:00+00:00,Weekday,20,Silver Line,637690,31884,724
2023-12-01 05:00:00+00:00,Weekday,20,Silver Line,566533,28327,776
2023-07-01 04:00:00+00:00,Weekday,20,Silver Line,616253,30813,824
2023-08-01 04:00:00+00:00,Weekday,23,Silver Line,710210,30879,875
2023-04-01 04:00:00+00:00,Weekday,20,Silver Line,523782,26189,970
2023-05-01 04:00:00+00:00,Weekday,22,Silver Line,653041,29684,986
2023-06-01 04:00:00+00:00,Weekday,22,Silver Line,665353,30243,1030
2023-02-01 05:00:00+00:00,Weekday,19,Silver Line,465735,24512,1098
2023-03-01 05:00:00+00:00,Weekday,23,Silver Line,615675,26768,1194
2023-01-01 05:00:00+00:00,Weekday,20,Silver Line,505262,25263,1211
2022-11-01 04:00:00+00:00,Weekday,21,Silver Line,581329,27682,1257
2022-12-01 05:00:00+00:00,Weekday,21,Silver Line,515883,24566,1309
2022-07-01 04:00:00+00:00,Weekday,20,Silver Line,534787,26739,1312
2022-09-01 04:00:00+00:00,Weekday,21,Silver Line,600894,28614,1334
2022-08-01 04:00:00+00:00,Weekday,23,Silver Line,631876,27473,1472
2022-06-01 04:00:00+00:00,Weekday,22,Silver Line,573015,26046,1529
2022-10-01 04:00:00+00:00,Weekday,21,Silver Line,587607,27981,1564
2022-01-01 05:00:00+00:00,Weekday,20,Silver Line,369583,18479,1639
2022-03-01 05:00:00+00:00,Weekday,23,Silver Line,549718,23901,1737
2022-05-01 04:00:00+00:00,Weekday,21,Silver Line,570479,27166,1812
2022-04-01 04:00:00+00:00,Weekday,21,Silver Line,533899,25424,1813
2022-02-01 05:00:00+00:00,Weekday,19,Silver Line,397402,20916,1820
2021-12-01 05:00:00+00:00,Weekday,23,Silver Line,456036,19828,1876
2021-10-01 04:00:00+00:00,Weekday,21,Silver Line,505493,24071,1942
2021-11-01 04:00:00+00:00,Weekday,21,Silver Line,489273,23299,1989
2021-05-01 04:00:00+00:00,Weekday,20,Silver Line,348164,17408,2048
2021-08-01 04:00:00+00:00,Weekday,22,Silver Line,468132,21279,2134
2021-04-01 04:00:00+00:00,Weekday,22,Silver Line,324681,14758,2218
2021-09-01 04:00:00+00:00,Weekday,21,Silver Line,487975,23237,2274
2021-03-01 05:00:00+00:00,Weekday,23,Silver Line,328741,14293,2294
2021-06-01 04:00:00+00:00,Weekday,22,Silver Line,418916,19042,2300
2021-07-01 04:00:00+00:00,Weekday,22,Silver Line,437004,19864,2345
2021-02-01 05:00:00+00:00,Weekday,19,Silver Line,246434,12970,2400
2020-10-01 04:00:00+00:00,Weekday,22,Silver Line,313542,14252,2403
2020-11-01 04:00:00+00:00,Weekday,20,Silver Line,275619,13781,2426
2020-08-01 04:00:00+00:00,Weekday,21,Silver Line,280178,13342,2430
2021-01-01 05:00:00+00:00,Weekday,19,Silver Line,240789,12673,2432
2020-12-01 05:00:00+00:00,Weekday,22,Silver Line,292128,13279,2603
2020-09-01 04:00:00+00:00,Weekday,21,Silver Line,296861,14136,2615
2020-07-01 04:00:00+00:00,Weekday,23,Silver Line,297526,12936,2624
2020-06-01 04:00:00+00:00,Weekday,22,Silver Line,251742,11443,2803
2020-03-01 05:00:00+00:00,Weekday,22,Silver Line,479125,21778,2900
2020-05-01 04:00:00+00:00,Weekday,20,Silver Line,186356,9318,2967
2019-12-01 05:00:00+00:00,Weekday,21,Silver Line,739832,35230,3068
2020-02-01 05:00:00+00:00,Weekday,19,Silver Line,709788,37357,3146
2020-04-01 04:00:00+00:00,Weekday,22,Silver Line,172252,7830,3148
2019-10-01 04:00:00+00:00,Weekday,23,Silver Line,894937,38910,3157
2019-11-01 04:00:00+00:00,Weekday,20,Silver Line,829138,41457,3182
2020-01-01 05:00:00+00:00,Weekday,21,Silver Line,778615,37077,3194
2019-05-01 04:00:00+00:00,Weekday,23,Silver Line,850391,36974,3208
2019-03-01 05:00:00+00:00,Weekday,21,Silver Line,786680,37461,3217
2019-06-01 04:00:00+00:00,Weekday,20,Silver Line,765614,38281,3230
